Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,ALL,68,5168154,2230438,5,6.373033,0.004267,,,
CAP41WGS_MO026,All Reads,ALL,69,4144924,1906860,5,6.793501,0.00492,,,
CAP41WGS_MO026,All Reads,ALL,70,3331053,1598843,5,7.087869,0.005605,,,
CAP41WGS_MO026,All Reads,ALL,71,2669917,1319228,5,7.296482,0.006353,,,
CAP41WGS_MO026,All Reads,ALL,62,16987338,4308091,6,3.744993,0.001804,,,
CAP41WGS_MO028,All Reads,UNIQUE,35,110997872,1579288,8,0.469166,0.000373,,,
CAP41WGS_MO028,All Reads,UNIQUE,34,106580575,1357500,8,0.419993,0.00036,,,
CAP41WGS_MO028,All Reads,UNIQUE,33,101272012,1157391,8,0.376852,0.00035,,,
CAP41WGS_MO028,All Reads,UNIQUE,28,63970372,383449,9,0.197656,0.000319,,,
CAP41WGS_MO028,All Reads,UNIQUE,31,88276440,789511,8,0.294913,0.000332,,,
CAP41WGS_MO028,All Reads,UNIQUE,30,80672875,633276,8,0.258849,0.000325,,,
CAP41WGS_MO028,All Reads,UNIQUE,29,72520266,499840,8,0.227275,0.000321,,,
CAP41WGS_MO028,All Reads,UNIQUE,36,114484260,1807069,8,0.520486,0.000387,,,
CAP41WGS_MO028,All Reads,UNIQUE,32,95175441,962879,8,0.333601,0.00034,,,
CAP41WGS_MO028,All Reads,UNIQUE,37,116323554,2024035,8,0.57376,0.000403,,,
CAP41WGS_MO028,All Reads,UNIQUE,48,75098809,2950479,7,1.295507,0.000754,,,
CAP41WGS_MO028,All Reads,UNIQUE,39,114081347,2398067,7,0.693149,0.000448,,,
CAP41WGS_MO028,All Reads,UNIQUE,40,110526771,2548435,7,0.760302,0.000476,,,
CAP41WGS_MO028,All Reads,UNIQUE,41,105557564,2655031,7,0.829393,0.000509,,,
CAP41WGS_MO028,All Reads,UNIQUE,42,99687188,2735650,7,0.904902,0.000547,,,
CAP41WGS_MO028,All Reads,UNIQUE,43,93641152,2798255,7,0.985373,0.000589,,,
CAP41WGS_MO028,All Reads,UNIQUE,44,88231115,2845664,7,1.063511,0.00063,,,
CAP41WGS_MO028,All Reads,UNIQUE,45,83867340,2890097,7,1.136318,0.000668,,,
CAP41WGS_MO028,All Reads,UNIQUE,46,80500873,2918306,7,1.195392,0.0007,,,
CAP41WGS_MO028,All Reads,UNIQUE,47,77805265,2933380,7,1.243196,0.000726,,,
CAP41WGS_MO028,All Reads,UNIQUE,2,116883,20,10,0.005642,0.001262,,,
CAP41WGS_MO028,All Reads,UNIQUE,38,116105623,2225941,8,0.63218,0.000424,,,
CAP41WGS_MO028,All Reads,UNIQUE,27,55200587,290062,9,0.173272,0.000322,,,
CAP41WGS_MO028,All Reads,UNIQUE,15,1295451,1758,10,0.044748,0.001067,,,
CAP41WGS_MO028,All Reads,UNIQUE,25,38195011,154198,9,0.133123,0.000339,,,
CAP41WGS_MO028,All Reads,UNIQUE,49,71799062,2942618,7,1.351435,0.000788,,,
CAP41WGS_MO028,All Reads,UNIQUE,3,148757,18,9,0.00399,0.00094,,,
CAP41WGS_MO028,All Reads,UNIQUE,4,164256,24,7,0.004818,0.000983,,,
